Instance,,,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1,BEST_VNS_LS2,AVG_VNS_LS2,TIME_VNS_LS2,AVG_VNS_GAP_LS2,STD_VNS_GAP_LS2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
