Algorithm,Mean_SD_AvgObj,Max_SD_AvgObj,Mean_SD_AvgGap,Max_SD_AvgGap,Mean_CV_AvgGap,Max_CV_AvgGap
GA+ILP,1.211978675726205,5.097744599330125,0.0031201929882114666,0.010658318999334334,0.32834141952100243,1.3190355135826684
Greedy,1.4126866059422964,4.844894219691429,0.022599445410802627,0.07267843005329255,0.2858404279536084,0.7412564502764176
VNS,1.3147664221655573,5.115173506343596,0.015326493858247506,0.04051344084237832,0.549799431447389,1.4401278205471246
