n,c,m,p,k,bestFI,avgFI,avgTimeFI,avgNumGenerationsFI,avgFirstFeasibleGenerationFI,avgBestSolutionGenerationFI,avgBestSolutionTimeFI,bestILP,avgILP,avgTimeILP,avgNumGenerationsILP,avgFirstFeasibleGenerationILP,avgBestSolutionGenerationILP,avgBestSolutionTimeILP
1000,100,2,30,2,254,258.6,137.07208580000002,100.0,0.5,69.8,96.49550450000001,237,240.9,3753.5805279,38.0,0.4,33.2,2228.5415308999995
1000,100,5,0,1,197,202.1,350.2807229,100.0,0.9,51.3,180.58070319999996,183,189.4,3768.59773,38.5,1.0,35.9,2784.493232
1000,100,5,0,3,266,270.0,304.9983206,100.0,0.6,53.8,172.7694985,250,253.6,3737.4058789,37.6,0.7,33.3,2339.3396949999997
1000,100,5,0,5,304,308.9,394.3254816,100.0,0.3,58.4,227.00673,288,292.6,3783.5677190999995,35.3,0.1,29.9,2123.318391
1000,100,5,30,1,201,202.9,316.5637051,100.0,0.8,66.6,210.39328799999998,184,187.7,3823.2923696999997,39.2,1.0,36.9,2912.5116136
1000,100,5,30,3,290,293.4,411.41114769999996,100.0,0.6,65.2,268.81556539999997,273,277.2,3764.5852891999994,34.4,0.7,29.9,2361.3940217000004
1000,100,5,30,5,334,339.8,372.9042756,100.0,0.2,58.5,218.34520350000003,320,325.3,3824.0174423999997,32.4,0.0,28.3,2463.8337125999997
1000,100,10,0,1,200,204.5,657.7215080999999,100.0,1.0,66.7,414.6327565,189,195.2,3779.7120146,33.1,1.0,28.2,1937.8814364000002
1000,100,10,0,5,305,308.3,806.0938770999999,100.0,0.9,51.1,410.96149160000004,291,295.3,3811.9559172,30.9,0.8,26.1,2145.9029152000003
1000,100,10,0,10,361,363.6,749.7019361,100.0,0.0,58.4,443.5643011,348,350.5,3714.1894780999996,31.0,0.0,26.2,2133.0311666000002
1000,100,10,30,1,190,200.1,700.2969974,100.0,1.0,63.3,429.84076460000006,191,194.8,3917.2848415,32.6,1.0,26.5,1651.8632346
1000,100,10,30,5,335,338.9,825.1342818999999,100.0,0.6,49.3,404.31442620000007,318,326.6,3811.4568812999996,30.1,0.8,27.6,2994.1637852
1000,100,10,30,10,401,404.5,767.4588003,100.0,0.0,64.4,490.96144559999993,388,390.5,3790.7148740999996,29.5,0.0,24.1,1978.3143119000001
5000,50,2,0,1,214,216.7,3643.2290783000003,57.5,1.0,29.9,1901.6913956,204,206.7,3794.4641577999996,16.3,1.0,12.6,2401.1240977
5000,50,2,0,2,244,246.8,3643.101996,56.3,1.0,26.4,1728.4317588999997,232,234.7,3801.6802904999995,16.7,1.0,13.3,2533.1054906
5000,50,2,30,1,214,215.9,3632.4143207,57.0,1.0,24.5,1575.1687021999999,200,207.6,3710.640616400001,16.1,1.0,14.4,3022.0161715
